handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_cc15a4c3-f68c-6362-6a16-f34f71e873e0,Product,6-24M Baby Sweater Set,,ab3cdc_9dab32a7bc7c4f3cac5b09406c72dadf~mv2.png,Baba Suit;M/L/XL,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b608ec79-1c5f-8088-57d9-d48f888bb104,Product,6-24M Baby Sweater Set,,ab3cdc_0c9435e6f04242c89a9b309df892327f~mv2.jpg,Baba Suit;M/L/XL,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_98c56dc8-ddea-b7d3-0d6b-49f48c5a0ba0,Product,6-24M Baby Sweater Set,,ab3cdc_69b5b387dfb14251b858db40b34fe5c6~mv2.jpg,Baba Suit;M/L/XL,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7a137444-1a65-1e1d-a26b-928681932a43,Product,6-24M Baby Sweater Set,,ab3cdc_fbad15375d61429a87294b7c8ffd2d8f~mv2.jpg,M/L/XL;Baba Suit;Top Sellers,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c2357edc-b379-b7b8-b364-e4efdcbc59d4,Product,6-24M Baby Sweater Set,"<p>These suits are available in Medium, Large and Extra Large&nbsp;size only. This is for baby made with soft wool. (6-24 Months)</p>",ab3cdc_778daeaa93974459afe8f60591a8e5c1~mv2.png,Baba Suit;M/L/XL,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
