handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_6754d980-adc5-5c92-aa4d-ff6c601d1a9e,Product,Blanket,"<p>Ap Oswal offers cozy, safe, tough baby blankets. As a top Wholesale Fabric Manufacturer, we promise they're the softest.</p>",ab3cdc_e83b35e211d445e7be47ecfa08577ad5~mv2.jpg,Blankets,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7e0a092e-ba1b-a558-4023-dbd4468a92c8,Product,Blanket,"<p>Ap Oswal offers cozy, safe, tough baby blankets. As a top Wholesale Fabric Manufacturer, we promise they're the softest.</p>",ab3cdc_e3f6b44a6b27483d80cc5e3d1aa878ee~mv2.jpg,Blankets,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4f6c6b88-8ce1-6751-3b7c-b2e714a07dbd,Product,Blanket,"<p>Ap Oswal offers cozy, safe, tough baby blankets. As a top Wholesale Fabric Manufacturer, we promise they're the softest.</p>",ab3cdc_499799d4f00a47e1a703d164cc102c9a~mv2.jpg,Blankets,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_30549eb4-7f94-0805-3950-54f6d527152d,Product,Blanket,"<p>Ap Oswal offers cozy, safe, tough baby blankets. As a top Wholesale Fabric Manufacturer, we promise they're the softest.</p>",ab3cdc_7539c0422818429897bb6791ab97a8b4~mv2.jpg,Blankets,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4af7770a-5d77-2940-7d2b-59bb3dc94d26,Product,Blanket,"<p>Ap Oswal offers cozy, safe, tough baby blankets. As a top Wholesale Fabric Manufacturer, we promise they're the softest.</p>",ab3cdc_d3a254f3a93d4b8485a15c8086d54c39~mv2.png,Blankets,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f87f7c9b-ddb0-356b-942a-34684de9714a,Product,Blanket,"<p>Ap Oswal offers cozy, safe, tough baby blankets. As a top Wholesale Fabric Manufacturer, we promise they're the softest.</p>",ab3cdc_79116327018d41dc852cce73c008121e~mv2.jpg,Blankets,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0bdb6efc-f1e0-601f-3764-ce1244ec2da5,Product,Blanket,"<p>Ap Oswal offers cozy, safe, tough baby blankets. As a top Wholesale Fabric Manufacturer, we promise they're the softest.</p>",ab3cdc_67fccaf193f5430cb37c6b2e6b7a4ecb~mv2.jpg,Blankets;Top Sellers,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
