handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_a10701ae-be2b-0ff2-8de4-0846c882d7d5,Product,New Born Sweater Set,,ab3cdc_a8e5d3f084104418a268a7e6480ab2ab~mv2.jpg,Baba Suit;Small,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1cb268a3-72b3-23a7-2921-75921d5dd28c,Product,New Born Sweater Set,,ab3cdc_475bfb6641c2437e971a79d1d48f3dbc~mv2.jpg,Baba Suit;Small;Top Sellers,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_92afb286-018f-d29a-bde0-b784b431cac3,Product,New Born Sweater Set,,ab3cdc_b3098946cc40452c838dc4e576f3a9e8~mv2.jpg,Baba Suit;Small,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_699ee2ce-f02d-7568-893d-2dffdd963d33,Product,New Born Sweater Set,,ab3cdc_b71cc3573f71482c9d18017a611bfa0e~mv2.png,Baba Suit;Small,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_467e90ab-4b49-f169-2ae7-e6486a7fd8e3,Product,New Born Sweater Set,<p>These suits are available in small size only. This is for new born baby made with soft wool. (0-3 Months)</p>,ab3cdc_3eddeb4b71a344cba4686249f4788245~mv2.jpg,Baba Suit;Small,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4241b22e-31bb-c99a-950b-e02514e2182e,Product,New Born Sweater Set,<p>These suits are available in small size only. This is for new born baby made with soft wool. (0-3 Months)</p>,ab3cdc_ff0df8e7967540f5bdc73043a2f263bd~mv2.png,Baba Suit;Small,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c74cbc98-f5dd-7d70-ea32-9aa444c178d3,Product,New Born Sweater Set,<p>These suits are available in small size only. This is for new born baby made with soft wool. (0-3 Months)</p>,ab3cdc_4fa444e72a8d49c3859e6c9e4277b01a~mv2.png,Baba Suit;Small,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_377b39f5-1fa8-4307-aa9f-578cb274570f,Product,New Born Sweater Set,<p>These suits are available in small size only. This is for new born baby made with soft wool. (0-3 Months)</p>,ab3cdc_5d38772c7e3d4459960d8dacc9b7d4bd~mv2.png,Baba Suit;Small,,,75.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
