handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_898f1f2f-fa5c-0245-8e97-b6c73b3b09f9,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_639fa7fe1d954de28ab7f3ef5beb84ee~mv2.jpg,Swed,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_517f8a7a-38cf-9dcb-8740-37a498b5480d,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_965618bae6a8438c99814bda31a77d46~mv2.jpg,Swed,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a706a775-1b18-bcca-530d-4e05e5b95ab1,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_c719efbb6d98498884faa7573475565d~mv2.jpg,Swed;Top Sellers,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7a77467d-318b-fe84-8f30-21a55fd0c941,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_b2bea0168bc94e7dbac12ac71264db7e~mv2.jpg,Swed,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4ec3f60b-af34-2330-102d-b98922268c31,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_fb87e6058f7749ff95448ea4779b0a3c~mv2.png;ab3cdc_79d08ec792a04863b1963a82d67a1211~mv2.png,Swed,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e2c5267a-10c9-b88d-c036-2be8615be986,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_779d0c0b6cfc455da4c35f7c297877b9~mv2.png,Swed,,,0.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,20-24;26-30;32-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ffdf59df-1f0d-78ea-d690-4a4bdd26300b,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_f5b08b49f08847c59f796c6d8f7d1d21~mv2.png,Swed,,,0.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,20-24;26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_03faa39a-0b2d-4a00-cd86-81c6206c4acf,Product,Swed,<p>These are woollen sweaters for babies.</p>,ab3cdc_23b56455d0ad41e18e696a05f0b0768f~mv2.jpg,Swed,,,0.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,18;20;22;24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
