handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_5e7ec30c-cb24-a51f-52f5-b52650d0eae5,Product,Monkey Cap,Check our comfy wool monkey caps for newborns at Ap Oswal. Gentle on baby's skin. Get yours now.,ab3cdc_71ddc0f674cf4283bc42793c45c040d0~mv2.png,Monkey Cap,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ffde5197-96f0-2d73-8719-e253415b1b1b,Product,Monkey Cap,Check our comfy wool monkey caps for newborns at Ap Oswal. Gentle on baby's skin. Get yours now.,ab3cdc_1ba8066030a342a39b53b928571c6b35~mv2.png,Monkey Cap,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_eb7d901e-c114-67af-20ca-c644e185c3e5,Product,Monkey Cap,Check our comfy wool monkey caps for newborns at Ap Oswal. Gentle on baby's skin. Get yours now.,ab3cdc_9b1ca88405c1403ab082b4a0b6e6451d~mv2.png,Monkey Cap,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e5e6b894-5a8b-03b3-3984-e8a902c5829e,Product,Monkey Cap,Check our comfy wool monkey caps for newborns at Ap Oswal. Gentle on baby's skin. Get yours now.,ab3cdc_a6fa3466b41d4b2d8121d89a06c4a8bb~mv2.png,Monkey Cap,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_07230986-0c6a-5b55-a3ff-ad44a0777468,Product,Monkey Cap,Check our comfy wool monkey caps for newborns at Ap Oswal. Gentle on baby's skin. Get yours now.,ab3cdc_f4b6ecbc726642deb4b5a2e0d87cdda4~mv2.png,Monkey Cap;Top Sellers,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_53014e76-fb01-c030-dfa6-277c065f6e05,Product,Monkey Cap,Check our comfy wool monkey caps for newborns at Ap Oswal. Gentle on baby's skin. Get yours now.,ab3cdc_78558e16ec674c4ca067f4b18c04a4b5~mv2.jpg,Monkey Cap,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
