handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_22734608-86d2-ea53-7139-61361b2f13b8,Product,Vest,"At Ap Oswal, we offer premium woollen vests for new born babies, designed to keep your little ones warm and comfortable. Crafted from soft, cozy wool, our vests provide gentle warmth perfect for delicate skin. As a trusted wholesale fabric manufacturer, we prioritize quality and care in every piece, ensuring reliable comfort for your customers. Discover the ease of sourcing cozy woolens for your little ones, just a click away with Ap Oswal.",ab3cdc_fa8c3d2d4f3640f1a0acc40ca955f5df~mv2.png,Vest;Top Sellers,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f07d12da-bdfa-ec55-d85d-56ba9a836154,Product,Vest,<p>Woollen vest for new born babies</p>,ab3cdc_9916f2a0cdf04391981188f03b6696d0~mv2.png,Vest,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2bc3df6b-dd2e-7c73-f01c-65860c6766cc,Product,Vest,<p>Woollen vest for new born babies</p>,ab3cdc_1c66bb2ad0484970bffc59148da66be8~mv2.png,Vest,,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
